0.052,0,0.052,0,0.052,0,,,,
0.104,0,0.104,0,0.104,0,,,,
0.156,0,0.156,0,0.156,0,,,,
0.207,0,0.207,0,0.207,0,,,,
0.258,0,0.258,0,0.258,0,,,,
0.309,0,0.309,0,0.309,0,,,,
0.358,0,0.358,0,0.358,0,,,,
0.406,0,0.406,0,0.406,0,,,,
0.453,0,0.453,0,0.453,0,,,,
0.5,0,0.5,0,0.5,0,,,,
0.544,0,0.544,0,0.544,0,,,,
0.587,0,0.587,0,0.587,0,,,,
0.629,0,0.629,0,0.629,0,,,,
0.669,0,0.669,0,0.669,0,,,,
0.707,0,0.707,0,0.707,0,,,,
0.743,0,0.743,0,0.743,0,,,,
0.777,0,0.777,0,0.777,0,,,,
0.809,0,0.809,0,0.809,0,,,,
0.838,0,0.838,0,0.838,0,,,,
0.866,0,0.866,0,0.866,0,,,,
0.891,0,0.891,0,0.891,0,,,,
0.913,0,0.913,0,0.913,0,,,,
0.933,0,0.933,0,0.933,0,,,,
0.951,0,0.951,0,0.951,0,,,,
0.965,0,0.965,0,0.965,0,,,,
0.978,0,0.978,0,0.978,0,,,,
0.987,0,0.987,0,0.987,0,,,,
0.994,0,0.994,0,0.994,0,,,,
0.998,0,0.998,0,0.998,0,,,,
1,0,1,0,1,0,,,,
0.998,0,0.998,0,0.998,0,,,,
0.994,0,0.994,0,0.994,0,,,,
0.987,0,0.987,0,0.987,0,,,,
0.978,0,0.978,0,0.978,0,,,,
0.965,0,0.965,0,0.965,0,,,,
0.951,0,0.951,0,0.951,0,,,,
0.933,0,0.933,0,0.933,0,,,,
0.913,0,0.913,0,0.913,0,,,,
0.891,0,0.891,0,0.891,0,,,,
0.866,0,0.866,0,0.866,0,,,,
0.838,0,0.838,0,0.838,0,,,,
0.809,0,0.809,0,0.809,0,,,,
0.777,0,0.777,0,0.777,0,,,,
0.743,0,0.743,0,0.743,0,,,,
0.707,0,0.707,0,0.707,0,,,,
0.669,0,0.669,0,0.669,0,,,,
0.629,0,0.629,0,0.629,0,,,,
0.587,0,0.587,0,0.587,0,,,,
0.544,0,0.544,0,0.544,0,,,,
0.5,0,0.5,0,0.5,0,,,,
0.453,0,0.453,0,0.453,0,,,,
0.406,0,0.406,0,0.406,0,,,,
0.358,0,0.358,0,0.358,0,,,,
0.309,0,0.309,0,0.309,0,,,,
0.258,0,0.258,0,0.258,0,,,,
0.207,0,0.207,0,0.207,0,,,,
0.156,0,0.156,0,0.156,0,,,,
0.104,0,0.104,0,0.104,0,,,,
0.052,0,0.052,0,0.052,0,,,,
0,0,0,0,0,0,,,,
0,0.052,0,0.052,0,0.052,,,,
0,0.104,0,0.104,0,0.104,,,,
0,0.156,0,0.156,0,0.156,,,,
0,0.207,0,0.207,0,0.207,,,,
0,0.258,0,0.258,0,0.258,,,,
0,0.309,0,0.309,0,0.309,,,,
0,0.358,0,0.358,0,0.358,,,,
0,0.406,0,0.406,0,0.406,,,,
0,0.453,0,0.453,0,0.453,,,,
0,0.5,0,0.5,0,0.5,,,,
0,0.544,0,0.544,0,0.544,,,,
0,0.587,0,0.587,0,0.587,,,,
0,0.629,0,0.629,0,0.629,,,,
0,0.669,0,0.669,0,0.669,,,,
0,0.707,0,0.707,0,0.707,,,,
0,0.743,0,0.743,0,0.743,,,,
0,0.777,0,0.777,0,0.777,,,,
0,0.809,0,0.809,0,0.809,,,,
0,0.838,0,0.838,0,0.838,,,,
0,0.866,0,0.866,0,0.866,,,,
0,0.891,0,0.891,0,0.891,,,,
0,0.913,0,0.913,0,0.913,,,,
0,0.933,0,0.933,0,0.933,,,,
0,0.951,0,0.951,0,0.951,,,,
0,0.965,0,0.965,0,0.965,,,,
0,0.978,0,0.978,0,0.978,,,,
0,0.987,0,0.987,0,0.987,,,,
0,0.994,0,0.994,0,0.994,,,,
0,0.998,0,0.998,0,0.998,,,,
0,1,0,1,0,1,,,,
0,0.998,0,0.998,0,0.998,,,,
0,0.994,0,0.994,0,0.994,,,,
0,0.987,0,0.987,0,0.987,,,,
0,0.978,0,0.978,0,0.978,,,,
0,0.965,0,0.965,0,0.965,,,,
0,0.951,0,0.951,0,0.951,,,,
0,0.933,0,0.933,0,0.933,,,,
0,0.913,0,0.913,0,0.913,,,,
0,0.891,0,0.891,0,0.891,,,,
0,0.866,0,0.866,0,0.866,,,,
0,0.838,0,0.838,0,0.838,,,,
0,0.809,0,0.809,0,0.809,,,,
0,0.777,0,0.777,0,0.777,,,,
0,0.743,0,0.743,0,0.743,,,,
0,0.707,0,0.707,0,0.707,,,,
0,0.669,0,0.669,0,0.669,,,,
0,0.629,0,0.629,0,0.629,,,,
0,0.587,0,0.587,0,0.587,,,,
0,0.544,0,0.544,0,0.544,,,,
0,0.5,0,0.5,0,0.5,,,,
0,0.453,0,0.453,0,0.453,,,,
0,0.406,0,0.406,0,0.406,,,,
0,0.358,0,0.358,0,0.358,,,,
0,0.309,0,0.309,0,0.309,,,,
0,0.258,0,0.258,0,0.258,,,,
0,0.207,0,0.207,0,0.207,,,,
0,0.156,0,0.156,0,0.156,,,,
0,0.104,0,0.104,0,0.104,,,,
0,0.052,0,0.052,0,0.052,,,,
0,0,0,0,0,0,,,,
